    0.00000  0.1000000000E-01  0.0000000000E+00
    0.00001  0.1010049777E-01 -0.1005016523E-06
    0.00009  0.1094166386E-01 -0.9417400417E-06
    0.00026  0.1295392929E-01 -0.2954425636E-05
    0.00042  0.1518865316E-01 -0.5189940956E-05
    0.00058  0.1779621559E-01 -0.7798764391E-05
    0.00073  0.2064795781E-01 -0.1065222545E-04
    0.00087  0.2395626670E-01 -0.1396290853E-04
    0.00102  0.2769340662E-01 -0.1770317195E-04
    0.00116  0.3201294390E-01 -0.2202687047E-04
    0.00131  0.3690196066E-01 -0.2692130153E-04
    0.00145  0.4249154362E-01 -0.3251801691E-04
    0.00159  0.4888194414E-01 -0.3891787858E-04
    0.00173  0.5619072163E-01 -0.4623933435E-04
    0.00187  0.6455474909E-01 -0.5462055965E-04
    0.00201  0.7413445706E-01 -0.6422391235E-04
    0.00214  0.8511950087E-01 -0.7524192650E-04
    0.00228  0.9772296142E-01 -0.8789197002E-04
    0.00242  0.1121786160E+00 -0.1024141934E-03
    0.00256  0.1287516229E+00 -0.1190832852E-03
    0.00270  0.1477415026E+00 -0.1382130303E-03
    0.00284  0.1694847333E+00 -0.1601612588E-03
    0.00298  0.1960176221E+00 -0.1870192047E-03
    0.00313  0.2265790329E+00 -0.2180733919E-03
    0.00328  0.2617130783E+00 -0.2539564134E-03
    0.00346  0.3123966250E+00 -0.3061279748E-03
    0.00362  0.3654238861E+00 -0.3613280051E-03
    0.00375  0.4119881929E+00 -0.4104169398E-03
    0.00389  0.4672531023E+00 -0.4695573770E-03
    0.00402  0.5267178801E+00 -0.5344380604E-03
    0.00414  0.5890612339E+00 -0.6040896047E-03
    0.00426  0.6539261651E+00 -0.6786443566E-03
    0.00438  0.7211100042E+00 -0.7585133517E-03
    0.00449  0.7911003565E+00 -0.8451232348E-03
    0.00461  0.8644829899E+00 -0.9404028549E-03
    0.00473  0.9421870270E+00 -0.1047363001E-02
    0.00485  0.1026094204E+01 -0.1171585395E-02
    0.00500  0.1121609882E+01 -0.1327259371E-02
